RUBBER TRAMP,                                                                                            東京都 / 千葉県全域 / 横浜 / 川崎 / 藤沢 / 埼玉 /                                                                                        他応相談可                                        , 普通車トラック, ピザ/キーマカレー/タコライス,                                                                                            千葉県千葉市中央区                                                                                    
Hey!Riccio,                                                                                            東京都 / 千葉県 / 横浜市 / 埼玉県 /                                                                                        他応相談可                                        , 軽自動車, グリルチキン、ポーク、お肉料理、ケータリング、イタリアン料理他,                                                                                            千葉県千葉市中央区                                                                                    
EAGLE NEST CAFE,                                                                                            東京 / 千葉 / 埼玉県さいたま市 / 茨城 /                                                                                        他応相談可                                        , 軽自動車, ハンバーガー / ピザ  /ローストビーフオーバーライス /タコライス / ハンドドリップコーヒー / ジンジャーレモネードなど,                                                                                            千葉県柏市                                                                                    
lunch stand tipi( ランチスタンドティピ ),                                                                                            東京都全域 / 千葉県全域 / 横浜 / 茅ヶ崎 /                                                                                        他応相談可                                        , 普通車トラック, タコライス/チリビーンズライス/チポトレ,                                                                                            東京都千代田区                                                                                    
CAFFE DEL CIELO,                                                                                            東京都/千葉県/さいたま市 /                                                                                        他応相談可                                        , 普通車, コーヒー、エスプレッソ、ラテ、ココア、紅茶、スムージー、焼き菓子、クロワッサン、マフィン、他,                                                                                            千葉県我孫子市                                                                                    
THE SUNRISE SHACK,                                                                                            東京、横浜、藤沢、鎌倉 /                                                                                        他応相談可                                        , 普通車, コーヒー、スムージー、アサイーボウル,                                                                                            神奈川県鎌倉市                                                                                    
one step coffee,                                                                                            東京 / 千葉 /                                                                                        他応相談可                                        , 軽自動車, コーヒー / エスプレッソ / カフェラテ / ココア 他,                                                                                            東京都国立市                                                                                    
MILK BAR,                                                                                            東京/千葉県/横浜市/相模原市/川崎市 /                                                                                        他応相談可                                        , 普通車," プレミアムアイスクリーム, ミルクシェイク, コーヒー, 紅茶(ホット・アイス)",                                                                                            神奈川県横浜市青葉区                                                                                    
GRILL TOKYO,                                                                                            東京 / 横浜市 / 川崎 /                                                                                        他応相談可                                        , 軽自動車, ローストビーフ/グリルチキン,                                                                                            東京都品川区                                                                                    
SHOPPERS,                                                                                            東京、千葉 /                                                                                        他応相談可                                        , 普通車, 無添加ソーセージ、フォカッチャドッグ、カレー,                                                                                            東京都豊島区                                                                                    
